Country,Population,Continent,CountofAttacks
Afghanistan,38928341,Asia,9576
Albania,2877800,Europe,12
Algeria,43851043,Africa,1327
Angola,32866268,Africa,71
Argentina,45195777,South America,19
Armenia,2963234,Europe,9
Australia,25499881,Oceania,33
Austria,9006400,Europe,14
Azerbaijan,10139175,Europe,14
Bahamas,393248,North America,1
Bahrain,1701583,Asia,144
Bangladesh,164689383,Asia,950
Belarus,9449321,Europe,9
Belgium,11589616,Europe,16
Belize,397621,North America,2
Benin,12123198,Africa,1
Bhutan,771612,Asia,6
Bolivia,11673029,South America,9
Bosnia and Herzegovina,3280815,Europe,33
Brazil,212559409,South America,22
Burma,54409800,Asia,165
Bulgaria,6948445,Europe,16
Burkina Faso,20903278,Africa,7
Burundi,11890781,Africa,261
Cambodia,16718971,Asia,19
Cameroon,26545864,Africa,163
Canada,37742157,North America,35
Central African Republic,4829764,Africa,193
Chad,16425859,Africa,62
Chile,19116209,South America,65
China,1439323774,Asia,126
Colombia,50882884,South America,1878
Congo,5518092,Africa,461
Costa Rica,5094114,North America,1
Croatia,4105268,Europe,11
Cuba,11326616,North America,1
Cyprus,875899,Europe,23
Czechia,10708982,Europe,16
Denmark,5792203,Europe,7
Djibouti,988002,Africa,3
Dominican Republic,10847904,North America,2
Ecuador,17643060,South America,25
Egypt,102334403,Africa,1404
Equatorial Guinea,1402985,Africa,1
Eritrea,3546427,Africa,7
Estonia,1326539,Europe,4
Ethiopia,114963583,Africa,60
Fiji,896444,Oceania,5
Finland,5540718,Europe,11
France,65273512,Europe,377
Gambia,2416664,Africa,1
Georgia,3989175,Europe,107
Germany,83783945,Europe,133
Ghana,31072945,Africa,1
Greece,10423056,Europe,474
Guatemala,17915567,North America,19
Guinea,13132792,Africa,17
Guinea-Bissau,1874000,Africa,9
Guyana,786559,South America,8
Haiti,11402533,North America,27
Honduras,9904608,North America,14
Hungary,9660350,Europe,6
Iceland,341250,Europe,2
India,1380004385,Asia,6926
Indonesia,273523621,Asia,503
Iran,83992953,Asia,133
Iraq,40222503,Asia,18649
Ireland,4937796,Europe,135
Israel,8655541,Asia,1091
Ivory Coast,26378274,Africa,45
Italy,60461828,Europe,104
Jamaica,2961161,North America,2
Japan,126476458,Asia,40
Jordan,10203140,Asia,23
Kazakhstan,18776707,Asia,16
Kenya,53771300,Africa,443
"Korea, South",51640000,Asia,4
Kosovo,1932774,Europe,141
Kuwait,4270563,Asia,10
Kyrgyzstan,6524191,Asia,21
Laos,7275556,Asia,14
Latvia,1886202,Europe,4
Lebanon,6825442,Asia,545
Lesotho,2142252,Africa,3
Liberia,5057677,Africa,12
Libya,6871287,Africa,1622
Madagascar,27691019,Africa,12
Malawi,19129955,Africa,1
Malaysia,32365998,Asia,39
Maldives,540542,Asia,18
Mali,20250834,Africa,293
Malta,441539,Europe,2
Mauritania,4649660,Africa,13
Mexico,128932753,North America,95
Montenegro,628062,Europe,5
Morocco,36910558,Africa,13
Mozambique,31255435,Africa,53
Namibia,2540916,Africa,27
Nepal,29136808,Asia,882
Netherlands,17134873,Europe,17
New Zealand,4822233,Oceania,10
Nicaragua,6624554,North America,3
Niger,24206636,Africa,76
Nigeria,206139587,Africa,2809
North Macedonia,2083380,Europe,105
Norway,5421242,Europe,7
Pakistan,220892331,Asia,10968
Panama,4314768,North America,2
Papua New Guinea,8947027,Oceania,2
Paraguay,7132530,South America,56
Peru,32971846,South America,62
Philippines,109581085,Asia,3596
Poland,37846605,Europe,2
Portugal,10196707,Europe,2
Qatar,2881060,Asia,4
Romania,19237682,Europe,1
Russia,145934460,Europe,1778
Rwanda,12952209,Africa,28
Saint Lucia,183629,North America,1
Saudi Arabia,34813867,Asia,174
Senegal,16743930,Africa,46
Serbia,6804596,Europe,11
Sierra Leone,7976985,Africa,24
Slovakia,5459643,Europe,1
Slovenia,2078932,Europe,1
Somalia,15893219,Africa,2757
South Africa,59308690,Africa,74
South Sudan,11193729,Africa,112
Spain,46754783,Europe,414
Sri Lanka,21413250,Asia,816
Sudan,43849269,Africa,612
Sweden,10099270,Europe,50
Switzerland,8654618,Europe,14
Syria,17500657,Asia,1339
Taiwan,23816775,Asia,8
Tajikistan,9537642,Asia,25
Tanzania,56320000,Africa,43
Thailand,69799978,Asia,3115
Togo,8278737,Africa,1
Trinidad and Tobago,1399491,North America,7
Tunisia,11818618,Africa,81
Turkey,84339067,Asia,1080
Uganda,45741000,Africa,155
Ukraine,43733759,Europe,1561
United Arab Emirates,9890400,Asia,5
United Kingdom,67886004,Europe,834
Uruguay,3473727,South America,1
United States,331002647,North America,346
Uzbekistan,33469199,Asia,10
Venezuela,28435943,South America,33
Vietnam,97338583,Asia,4
West Bank and Gaza,4430000,Asia,1047
Western Sahara,597330,Africa,1
Yemen,29825968,Asia,2489
Zambia,18383956,Africa,9
Zimbabwe,14862927,Africa,26
